date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:04	58173/58173	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Oct%202025%2008:12:17%20GMT	https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/happy/no-slug/1018.html	(from )
15:14:04	49/49	---MCZ	200	added ('OK')	text/plain	date:Fri,%2024%20Oct%202025%2008:12:17%20GMT	https://thiepcuoi.gowedding.com.vn/robots.txt		(from )
15:14:04	76783/76783	---M-Z	200	added ('OK')	text/css	etag:%2212bef-6357e3e46ce55-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/animate.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/animate.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
15:14:04	155631/155631	---M-Z	200	added ('OK')	text/css	etag:%2225fef-6357e3e46d23d-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/bootstrap.min.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/bootstrap.min.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
15:14:04	2583/2583	---M-Z	200	added ('OK')	text/css	etag:%22a17-6357e3e46d23d-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/flaticon.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/flaticon.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
15:14:05	29062/29062	---M-Z	200	added ('OK')	text/css	etag:%227186-6357e3e46d23d-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/font-awesome.min.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/font-awesome.min.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
15:14:05	36120/36120	---M-Z	200	added ('OK')	text/css	etag:%228d18-6357e3e46d625-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/jquery-ui.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/jquery-ui.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
15:14:05	5053/5053	---M-Z	200	added ('OK')	text/css	etag:%2213bd-6357e3e46d625-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/jquery.fancybox.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/jquery.fancybox.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
15:14:05	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-6357e3e46d625-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/magnific-popup.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/magnific-popup.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
15:14:06	4007/4007	---M-Z	200	added ('OK')	text/css	etag:%22fa7-6357e3e46d625-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/nice-select.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/nice-select.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
15:14:06	3652/3652	---M-Z	200	added ('OK')	text/css	etag:%22e44-6357e3e46d625-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/odometer-theme-default.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/odometer-theme-default.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
15:14:06	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-6357e3e46d625-gzip%22	https://thiepcuoi.gowedding.com.vn/themes/theme1/css/owl.carousel.css	C:/My%20Web%20Sites/T2/thiepcuoi.gowedding.com.vn/themes/theme1/css/owl.carousel.css	(from https://thiepcuoi.gowedding.com.vn/happy/no-slug/1018)
